Sr.,Stock Name,Symbol,Links,% Chg,Price,Volume
62,United Breweries Limited,UBL,P&F | F.A,9.18%,2030.95,"24,92,686"
173,Steel Authority Of India Limited,SAIL,P&F | F.A,8.14%,164.65,"17,64,71,110"
145,Chambal Fertilizers & Chemicals Limited,CHAMBLFERT,P&F | F.A,5.73%,402.2,"1,49,89,439"
162,Nmdc Limited,NMDC,P&F | F.A,5.73%,248.1,"3,21,68,850"
11,Dixon Technologies,DIXON,P&F | F.A,4.88%,8145.75,"6,10,844"
51,Acc Limited,ACC,P&F | F.A,4.23%,2556.4,"8,85,615"
30,Hindustan Aeronautics Ltd,HAL,P&F | F.A,3.98%,3946.7,"44,29,158"
120,Hindalco Industries Limited,HINDALCO,P&F | F.A,3.97%,636.1,"1,17,75,700"
166,Gail (india) Limited,GAIL,P&F | F.A,3.88%,207.4,"3,12,99,709"
84,Cipla Limited,CIPLA,P&F | F.A,3.82%,1398.2,"44,15,480"
108,Jsw Steel Limited,JSWSTEEL,P&F | F.A,3.68%,882.7,"42,57,777"
58,Dr. Lal Path Labs Ltd.,LALPATHLAB,P&F | F.A,3.53%,2328.85,"5,41,153"
99,Glenmark Pharmaceuticals Limited,GLENMARK,P&F | F.A,3.52%,1070.95,"6,57,386"
155,Biocon Limited,BIOCON,P&F | F.A,3.37%,289.6,"2,47,83,743"
105,Jindal Steel & Power Limited,JINDALSTEL,P&F | F.A,2.93%,936.5,"36,33,914"
90,Godrej Consumer Products Limited,GODREJCP,P&F | F.A,2.92%,1212.8,"10,17,249"
172,Tata Steel Limited,TATASTEEL,P&F | F.A,2.73%,165.55,"5,98,94,921"
42,Cummins India Limited,CUMMINSIND,P&F | F.A,2.70%,3244.3,"6,63,114"
104,Container Corporation Of India Limited,CONCOR,P&F | F.A,2.60%,973.05,"21,66,281"
168,National Aluminium Company Limited,NATIONALUM,P&F | F.A,2.54%,188,"2,24,18,521"
115,Gujarat Narmada Valley Fertilizers And Chemicals Limited,GNFC,P&F | F.A,2.51%,711,"18,36,874"
147,Balrampur Chini Mills Limited,BALRAMCHIN,P&F | F.A,2.37%,388.05,"20,55,303"
109,Piramal Enterprises Limited,PEL,P&F | F.A,2.28%,879.05,"17,37,883"
93,Cholamandalam Investment And Finance Company Limited,CHOLAFIN,P&F | F.A,2.23%,1168.8,"9,29,932"
47,Colgate Palmolive (india) Limited,COLPAL,P&F | F.A,2.15%,2748,"3,75,720"
149,Hindustan Copper Limited,HINDCOPPER,P&F | F.A,2.04%,379.65,"1,12,13,081"
48,Torrent Pharmaceuticals Limited,TORNTPHARM,P&F | F.A,1.86%,2686.45,"2,54,563"
154,Power Grid Corporation Of India Limited,POWERGRID,P&F | F.A,1.77%,290.4,"1,93,24,184"
20,Polycab India Ltd,POLYCAB,P&F | F.A,1.76%,5593.8,"3,05,918"
86,Ipca Laboratories Limited,IPCALAB,P&F | F.A,1.76%,1347.25,"5,64,701"
34,Pi Industries Limited,PIIND,P&F | F.A,1.72%,3754.85,"1,31,701"
148,Vedanta Limited,VEDL,P&F | F.A,1.70%,383.45,"1,10,74,253"
170,Ashok Leyland Limited,ASHOKLEY,P&F | F.A,1.69%,177.6,"1,33,00,471"
66,Kotak Mahindra Bank Limited,KOTAKBANK,P&F | F.A,1.64%,1842.8,"32,95,077"
70,Muthoot Finance Limited,MUTHOOTFIN,P&F | F.A,1.57%,1642.9,"5,41,443"
122,AU Small Finance Bank,AUBANK,P&F | F.A,1.55%,618.95,"53,24,514"
63,Astral Poly Technik Limited,ASTRAL,P&F | F.A,1.54%,1988.85,"1,65,710"
28,Trent Limited,TRENT,P&F | F.A,1.53%,4221.75,"6,41,190"
164,The India Cements Limited,INDIACEM,P&F | F.A,1.52%,227.6,"45,35,612"
157,Bharat Heavy Electricals Limited,BHEL,P&F | F.A,1.50%,264.05,"1,49,61,307"
15,Apollo Hospitals Enterprise Limited,APOLLOHOSP,P&F | F.A,1.43%,6283.35,"2,07,837"
54,Shriram Finance Ltd,SHRIRAMFIN,P&F | F.A,1.41%,2461.05,"16,91,860"
82,Voltas Limited,VOLTAS,P&F | F.A,1.33%,1414.15,"27,40,841"
9,Ultratech Cement Limited,ULTRACEMCO,P&F | F.A,1.31%,9658.85,"3,17,931"
73,Havells India Limited,HAVELLS,P&F | F.A,1.30%,1568.1,"12,14,714"
150,Ntpc Limited,NTPC,P&F | F.A,1.30%,351.65,"1,11,32,322"
89,Bharat Forge Limited,BHARATFORG,P&F | F.A,1.28%,1222,"12,74,770"
152,Crompton Greaves Consumer Electricals Limited,CROMPTON,P&F | F.A,1.28%,311.9,"45,72,140"
44,Pidilite Industries Limited,PIDILITIND,P&F | F.A,1.24%,2950.4,"2,83,020"
119,Ambuja Cements Limited,AMBUJACEM,P&F | F.A,1.24%,644.45,"47,01,945"
33,Divi's Laboratories Limited,DIVISLAB,P&F | F.A,1.20%,3813.8,"4,73,558"
153,Petronet Lng Limited,PETRONET,P&F | F.A,1.20%,298.95,"99,64,285"
41,Escorts Limited,ESCORTS,P&F | F.A,1.19%,3250.65,"2,71,162"
55,Deepak Nitrite Limited,DEEPAKNTR,P&F | F.A,1.19%,2399.3,"7,79,402"
167,Manappuram Finance Limited,MANAPPURAM,P&F | F.A,1.16%,192.45,"41,08,016"
27,Hero Motocorp Limited,HEROMOTOCO,P&F | F.A,1.11%,4393.35,"6,58,601"
92,United Spirits Limited,MCDOWELL-N,P&F | F.A,1.10%,1182.9,"6,82,598"
35,Interglobe Aviation Limited,INDIGO,P&F | F.A,1.07%,3742.2,"5,89,706"
94,Tata Chemicals Limited,TATACHEM,P&F | F.A,1.07%,1126.85,"22,58,690"
81,Mahanagar Gas Limited,MGL,P&F | F.A,1.06%,1422.35,"2,25,705"
136,Indraprastha Gas Limited,IGL,P&F | F.A,1.01%,453.05,"23,96,664"
13,Bajaj Finance Limited,BAJFINANCE,P&F | F.A,0.95%,7329.15,"8,86,929"
113,Aarti Industries Limited,AARTIIND,P&F | F.A,0.94%,747.9,"13,59,240"
107,Dlf Limited,DLF,P&F | F.A,0.93%,893.5,"41,02,872"
140,Rural Electrification Corporation Limited,RECLTD,P&F | F.A,0.92%,439.8,"72,01,124"
156,Oil & Natural Gas Corporation Limited,ONGC,P&F | F.A,0.92%,279.35,"92,56,367"
163,Bharat Electronics Limited,BEL,P&F | F.A,0.92%,236.5,"3,33,93,218"
102,Indian Railway Catering & Tourism Corporation Ltd,IRCTC,P&F | F.A,0.89%,1025.35,"16,89,703"
133,Hindustan Petroleum Corporation Limited,HINDPETRO,P&F | F.A,0.89%,487.4,"42,76,560"
144,Granules India Limited,GRANULES,P&F | F.A,0.87%,418.1,"5,68,508"
18,Info Edge (india) Limited,NAUKRI,P&F | F.A,0.84%,5875.85,"2,29,882"
29,Jk Cement Limited,JKCEMENT,P&F | F.A,0.82%,4175.25,"2,77,354"
